Frame,URL,Minutes,Seconds,Frames,Date,HH,MM,SS,Zone,Track,Mode,VIC,COA-A,IR,15 -Zoom,Auto,?Dist,DFLT,AUTO,Analogue,Analogue,Analogue,,,,,Lat Deg,Lat Min,Lat Sec,Lat NS,Lon Deg,Lon Min,Lon Sec,Lon EW,Heading,36 - Altitude,37-TGT Alt,TGT Heading,TGT Dist NM,OFF,NONE,TGT,LOS,Tlat Deg,Tlat Min,Tlat Sec,Tlat NA,Tlon Deg,Tlon Min,Tlon Sec,Tlon EW,Time Sec,53 Lat,54 Lon,55 Tlat,56 Tlon
1,http://prrr.isaackoi.com/frames/frame00001.png,0,0,0,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0,18.5025,-67.09666667,18.50416667,-67.15666667
2,http://prrr.isaackoi.com/frames/frame00002.png,0,0,1,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.033333333,18.5025,-67.09666667,18.50416667,-67.15666667
3,http://prrr.isaackoi.com/frames/frame00003.png,0,0,2,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.066666667,18.5025,-67.09666667,18.50416667,-67.15666667
4,http://prrr.isaackoi.com/frames/frame00004.png,0,0,3,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.1,18.5025,-67.09666667,18.50416667,-67.15666667
5,http://prrr.isaackoi.com/frames/frame00005.png,0,0,4,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.133333333,18.5025,-67.09666667,18.50416667,-67.15666667
6,http://prrr.isaackoi.com/frames/frame00006.png,0,0,5,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.166666667,18.5025,-67.09666667,18.50416667,-67.15666667
7,http://prrr.isaackoi.com/frames/frame00007.png,0,0,6,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,675,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,9,N,67,5,48,W,11,1875,0,272,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.2,18.5025,-67.09666667,18.50416667,-67.15666667
8,http://prrr.isaackoi.com/frames/frame00008.png,0,0,7,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.233333333,18.50277778,-67.09666667,18.50416667,-67.15666667
9,http://prrr.isaackoi.com/frames/frame00009.png,0,0,8,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.266666667,18.50277778,-67.09666667,18.50416667,-67.15666667
10,http://prrr.isaackoi.com/frames/frame00010.png,0,0,9,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.3,18.50277778,-67.09666667,18.50416667,-67.15666667
11,http://prrr.isaackoi.com/frames/frame00011.png,0,0,10,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.333333333,18.50277778,-67.09666667,18.50416667,-67.15666667
12,http://prrr.isaackoi.com/frames/frame00012.png,0,0,11,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.366666667,18.50277778,-67.09666667,18.50416667,-67.15666667
13,http://prrr.isaackoi.com/frames/frame00013.png,0,0,12,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.4,18.50277778,-67.09666667,18.50416667,-67.15666667
14,http://prrr.isaackoi.com/frames/frame00014.png,0,0,13,26-Apr-13,1,22,7,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,10,N,67,5,48,W,10,1875,0,271,3.4,OFF,NONE,TGT,LOS,18,30,15,N,67,9,24,W,0.433333333,18.50277778,-67.09666667,18.50416667,-67.15666667
15,http://prrr.isaackoi.com/frames/frame00015.png,0,0,14,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.466666667,18.50305556,-67.09666667,18.50388889,-67.15666667
16,http://prrr.isaackoi.com/frames/frame00016.png,0,0,15,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.5,18.50305556,-67.09666667,18.50388889,-67.15666667
17,http://prrr.isaackoi.com/frames/frame00017.png,0,0,16,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.533333333,18.50305556,-67.09666667,18.50388889,-67.15666667
18,http://prrr.isaackoi.com/frames/frame00018.png,0,0,17,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.566666667,18.50305556,-67.09666667,18.50388889,-67.15666667
19,http://prrr.isaackoi.com/frames/frame00019.png,0,0,18,26-Apr-13,1,22,8,UTC+1.0,Ground Track,AUTO,VIC,COA-A,IR,135,AUTO,,DFLT,AUTO,Analogue,Analogue,Analogue,LI: Disarm,LI: Off,Analogue,ACFT ,18,30,11,N,67,5,48,W,10,1876,0,271,3.4,OFF,NONE,TGT,LOS,18,30,14,N,67,9,24,W,0.6,18.50305556,-67.09666667,18.50388889,-67.15666667
