Frame,Mode,FL,Zoom,,
0,IR,27,1,,
919,IR,135,1,,
965,IR,27,1,,
1176,IR,135,1,,
1267,IR,675,1,,
1602,IR,135,1,,
2106,EOW,17,1,,
2313,EOW,115,1,,
3556,EOW,200,1,,
3587,EOW,200,1.5,,
3606,EOW,200,2,,
3648,EOW,200,1.5,,
3666,EOW,200,1,,
4699,EOW,200,1.5,,
4714,EOW,200,2,,
4727,EOW,200,4,,
4747,EOW,200,2,,
4764,EOW,200,1.5,,
4779,EOW,200,1,,
6713,EON,9,1,,
6735,IR,135,1,,
6881,IR,675,1,,
6936,IR,135,1,,
7054,IR,675,1,,
7153,EOW,200,1,Smooth,
7338,EOW,94,1,to here,
7379,EOW,200,1,,
7490,EOW,200,1.5,,
7499,EOW,200,2,,
7541,EOW,115,1,,
8300,EOW,200,1,,
8327,EOW,115,1,,
8332,EOW,80,1,,
8438,EON,9,1,,
8455,IR,675,1,,
8582,IR,27,1,,
8626,IR,135,1,,
8649,IR,675,1,,
9011,IR,135,1,,
9621,IR,675,1,,
10125,IR,135,1,,
10398,IR,675,1,,
10750,IR,1012,1,,B
10818,IR,1012,1,,W
10900,IR,1012,1,,B
11288,IR,675,1,,
11726,EOW,80,1,,
11800,EOW,200,1,,
11814,EOW,200,1.5,,
11914,EOW,200,1,,
12004,EON,9,1,,
12024,IR,675,1,,
13008,EOW,200,1,,
13034,EON,9,1,,
13067,IR,675,1,,
15056,EOW,200,1,,
15158,EON,9,1,,
15202,IR,675,1,,
15618,IR,135,1,,
15661,IR,675,1,,
16266,IR,135,1,,
16350,IR,200,1,,
16551,EON,9,1,,
16578,IR,135,1,,
16612,EOW,200,1,,
16625,EON,9,1,,
16694,EON,44,1,,
16720,EON,94,1,,
16897,EON,154,1,,
16908,EON,154,2,,
16977,EON,154,1,,
17231,IR,135,1,,
17293,IR,675,1,,
17484,IR,1012,1,,
