time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-12-22 19:56:32,38.7215258502576,-121.169326008723,0,Available with any HD 360 subscription,Available with any HD 360 subscription,466.09744864215,0.328084,0,0,0,16,5,0,466.09744864215,0,0,0,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
100,2023-12-22 19:56:32,38.7215258568416,-121.1693260044,0,,,466.09744864215,0.328084,0,0.00269893053256,0.00269893053256,16,5,0,466.09744864215,0,0,0.00269893053256,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
200,2023-12-22 19:56:32,38.721525822802,-121.169325999996,0,,,466.09744864215,0.328084,0,0.0103205711964,0.0151813653152,16,5,0,466.09744864215,0,0,0.0103205711964,0,0,0,326, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
300,2023-12-22 19:56:32,38.721525708925,-121.169326033821,0,,,466.09744864215,0.328084,0,0.052057744448,0.057830382428,16,5,0,466.09744864215,0,0,0.052057744448,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
400,2023-12-22 19:56:32,38.7215256920001,-121.169326080259,0,,,466.09744864215,0.328084,0,0.061225723744,0.072420605992,16,5,0,466.09744864215,0,0,0.061225723744,0,0,0,326, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
500,2023-12-22 19:56:32,38.7215257236917,-121.169326138873,0,,,466.09744864215,0.328084,0,0.059202101632,0.09271981924,16,5,0,466.09744864215,0,0,0.061225723744,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
600,2023-12-22 19:56:32,38.7215257705701,-121.16932620308,0,,,466.09744864215,0.328084,0,0.062498689664,0.117751316104,16,5,0,466.09744864215,0,0,0.062498689664,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
700,2023-12-22 19:56:32,38.721525887449,-121.169326238909,0,,,466.09744864215,0.328084,0,0.066913716052,0.161597446116,16,5,0,466.09744864215,0,0,0.066913716052,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 15. Setting new Maximum Flight Altitude to 500m (1640 ft)"
800,2023-12-22 19:56:32,38.7215259046195,-121.169326255,0,,,466.09744864215,0.328084,0,0.072855317292,0.169357945052,16,5,0,466.09744864215,0,0,0.072855317292,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
900,2023-12-22 19:56:33,38.7215259501093,-121.169326253242,0,,,466.09744864215,0.328084,0,0.078561026136,0.185962276292,16,5,0,466.09744864215,0,0,0.078561026136,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
1000,2023-12-22 19:56:33,38.7215260031286,-121.169326250518,0,,,466.09744864215,0.328084,0,0.088589569764,0.205321856964,16,5,0,466.09744864215,0,0,0.088589569764,0,0,0,326, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,0,72.86,466.09744864215,0,41,Motors_Started,
1100,2023-12-22 19:56:33,38.7215260582987,-121.169326252497,0,,,466.09744864215,0.328084,0,0.102842194892,0.225458668632,16,5,8.626,466.09744864215,0,0,0.102842194892,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1200,2023-12-22 19:56:33,38.721526069802,-121.169326296996,0,,,466.09744864215,0.328084,0,0.11467191968,0.23880250108,16,5,8.626,466.09744864215,0,0,0.11467191968,0,0,0,325.9, 2.6, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1300,2023-12-22 19:56:33,38.7215261056371,-121.169326315773,0,,,466.09744864215,0.328084,0,0.127753284928,0.252927173448,16,5,8.626,466.09744864215,0,0,0.127753284928,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1400,2023-12-22 19:56:33,38.7215261514511,-121.169326327271,0,,,466.09744864215,0.328084,0,0.142471133168,0.269959982392,16,5,8.626,466.09744864215,0,0,0.142471133168,0,0,0,325.9, 2.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1500,2023-12-22 19:56:33,38.7215261673452,-121.169326324774,0,,,466.09744864215,0.328084,0,0.146552826212,0.27580217418,16,5,8.626,466.09744864215,0,0,0.146552826212,0,0,0,325.8, 2.3, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1600,2023-12-22 19:56:33,38.7215261661531,-121.169326238502,0,,,466.09744864215,0.328084,0,0.132520673532,0.300363526672,16,5,8.626,466.09744864215,0,0,0.146552826212,0,0,0,325.4, -0.2, -0.5,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1700,2023-12-22 19:56:33,38.7215261566096,-121.169326247371,0,,,466.09744864215,0.328084,0,0.130796920196,0.304664379828,16,5,8.626,466.09744864215,0,0,0.146552826212,0,0,-0.223694,325.2, 0, -1,0,1,1024,1024,1024,1024,0,0,0,0,312.4,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,"Home Point updated. RTH altitude adjusted to 100 m (Code: 120852)"
1800,2023-12-22 19:56:33,38.7215261382573,-121.169326265157,0,,,466.09744864215,0.328084,0,0.12794291748,0.313059065136,16,5,8.626,466.09744864215,0,0,0.146552826212,0,0,-0.671082,325.1, -0.3, -0.7,0,1,1024,1024,1024,1024,0,0,0,0,312.3,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
1900,2023-12-22 19:56:34,38.7215261204649,-121.169326257258,0,,,466.09744864215,0.656168,0,0.121342851652,0.319928816012,16,5,8.626,466.09744864215,0,0,0.146552826212,0,0,-0.894776,324.9, 0.1, -0.4,0,1,1024,1024,1024,1024,0,0,0,0,312.3,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.09744864215,0,11,AutoTakeoff,
2000,2023-12-22 19:56:34,38.7215260377752,-121.169326270475,0.328084,,,466.42553264215,0.656168,0,0.101154530796,0.35033137604,16,5,8.626,466.42553264215,0.328084,0,0.146552826212,0,0,-1.11847,324.8, 0.6, -0.7,0,1,1024,1024,1024,1024,0,0,0,0,312.3,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.42553264215,0.328084,11,AutoTakeoff,
2100,2023-12-22 19:56:34,38.7215259725173,-121.16932623707,0.328084,,,466.42553264215,0.656168,0,0.078833335856,0.37597114064,16,5,8.626,466.42553264215,0.328084,0,0.146552826212,0,0,-1.342164,325.1, 0.2, -0.6,0,1,1024,1024,1024,1024,0,0,0,0,312.3,0,0,99,4.311,4.308,0,0,0,0,1.165,72.86,466.42553264215,0.328084,11,AutoTakeoff,
2200,2023-12-22 19:56:34,38.7215258740614,-121.169326185263,0.656168,,,466.75361664215,0.984252,0,0.050997705044,0.41479988204,16,5,8.552,466.75361664215,0.656168,0,0.146552826212,0,0,-1.565858,325.1, -0.4, -0.3,0,1,1024,1024,1024,1024,0,0,0,0,312.3,0,0,99,4.244,4.236,0,0,0,0,2.223,72.86,466.75361664215,0.656168,11,AutoTakeoff,
2300,2023-12-22 19:56:34,38.7215258409421,-121.169326167713,0.984252,,,467.08170064215,1.312336,0,0.045384843972,0.42787731028,16,5,8.552,467.08170064215,0.984252,0,0.146552826212,0,0,-1.789552,325.1, -1.2, -0.4,0,1,1024,1024,1024,1024,0,0,0,0,312.2,0,0,99,4.244,4.236,0,0,0,0,2.223,72.86,467.08170064215,0.984252,11,AutoTakeoff,
2400,2023-12-22 19:56:34,38.7215258252402,-121.169326204981,1.312336,,,467.40978464215,1.64042,0,0.056606301024,0.43993111644,16,5,8.552,467.40978464215,1.312336,0,0.146552826212,0,0,-2.013246,325.2, -1.6, -0.6,0,1,1024,1024,1024,1024,0,0,0,0,312.2,0,0,99,4.244,4.236,0,0,0,0,2.223,72.86,467.40978464215,1.312336,11,AutoTakeoff,
2500,2023-12-22 19:56:34,38.7215258548126,-121.169326131938,1.64042,,,467.73786864215,1.968504,0,0.035112862016,0.46335631404,16,5,8.552,467.73786864215,1.64042,0,0.146552826212,0,0,-2.013246,325.2, -1.5, -0.6,0,1,1024,1024,1024,1024,0,0,0,0,312.2,0,0,99,4.244,4.236,0,0,0,0,2.223,72.86,467.73786864215,1.64042,11,AutoTakeoff,
2600,2023-12-22 19:56:34,38.7215258998508,-121.169326034687,1.968504,,,468.06595264215,2.296588,0,0.019545276216,0.49555119696,16,5,8.552,468.06595264215,1.968504,0,0.146552826212,0,0,-2.23694,325.1, -1.5, -0.6,0,1,1024,1024,1024,1024,0,0,0,0,312.2,0,0,99,4.244,4.236,0,0,0,0,2.223,72.86,468.06595264215,1.968504,11,AutoTakeoff,
2700,2023-12-22 19:56:34,38.7215258189133,-121.169325928545,2.296588,,,468.39403664215,2.624672,0,0.0255278223392,0.53779857364,16,5,8.552,468.39403664215,2.296588,0,0.146552826212,0,0,-2.23694,325, -1.6, -0.7,0,1,1024,1024,1024,1024,0,0,0,0,312.2,0,0,99,4.244,4.236,0,0,0,0,2.223,72.86,468.39403664215,2.296588,11,AutoTakeoff,
