time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-01-04 22:19:40,38.719605502344,-121.167900841426,0,Available with any HD 360 subscription,Available with any HD 360 subscription,473.18407518126,0.328084,0,0,0,16,4,0,473.18407518126,0,0,0,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
100,2024-01-04 22:19:41,38.7196055090597,-121.167900846405,0,,,473.18407518126,0.328084,0,0.00283068250528,0.00283068250528,16,4,0,473.18407518126,0,0,0.00283068250528,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
200,2024-01-04 22:19:41,38.7196053722183,-121.167900806201,0,,,473.18407518126,0.328084,0,0.0485236236,0.054052167084,16,4,0,473.18407518126,0,0,0.0485236236,0,0,0,32.2, 1.4, 2.6,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
300,2024-01-04 22:19:41,38.7196053587543,-121.167900761413,0,,,473.18407518126,0.328084,0,0.057125657996,0.067715225264,16,4,0,473.18407518126,0,0,0.057125657996,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
400,2024-01-04 22:19:41,38.7196053437791,-121.167900733514,0,,,473.18407518126,0.328084,0,0.0655019706,0.077354661268,16,4,0,473.18407518126,0,0,0.0655019706,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
500,2024-01-04 22:19:41,38.7196053292176,-121.167900722818,0,,,473.18407518126,0.328084,0,0.07162237762,0.083478021044,16,4,0,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.3, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
600,2024-01-04 22:19:41,38.7196053396885,-121.167900719921,0,,,473.18407518126,0.328084,0,0.068688650492,0.087386485736,16,4,0,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
700,2024-01-04 22:19:41,38.7196053881836,-121.167900769656,0,,,473.18407518126,0.328084,0,0.046392061852,0.110046919532,16,4,0,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
800,2024-01-04 22:19:41,38.719605413597,-121.167900775618,0,,,473.18407518126,0.328084,0,0.037407809596,0.119473100936,16,4,0,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.4, 2.6,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
900,2024-01-04 22:19:41,38.7196054226545,-121.1679007838,0,,,473.18407518126,0.328084,0,0.033382875084,0.123515751984,16,4,0,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.4, 2.6,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 21. Setting new Maximum Flight Altitude to 500m (1640 ft)"
1000,2024-01-04 22:19:41,38.7196054247193,-121.167900791776,0,,,473.18407518126,0.328084,0,0.031652067942,0.125908140512,16,4,0,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.299,4.3,0,0,0,0,0,76.1,473.18407518126,0,41,Motors_Started,
1100,2024-01-04 22:19:42,38.7196053834545,-121.167900846187,0,,,473.18407518126,0.328084,0,0.043397967268,0.14750820682,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.4, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1200,2024-01-04 22:19:42,38.7196053780579,-121.167900855099,0,,,473.18407518126,0.328084,0,0.045512468648,0.150719493012,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.3, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1300,2024-01-04 22:19:42,38.7196053723779,-121.167900862606,0,,,473.18407518126,0.328084,0,0.047799870296,0.153696527228,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,0,32.2, 1.2, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1400,2024-01-04 22:19:42,38.7196053906751,-121.167900844106,0,,,473.18407518126,0.328084,0,0.040749345136,0.162199152172,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,0,32.4, 1.2, 2.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1500,2024-01-04 22:19:42,38.7196054866067,-121.167900701795,0,,,473.18407518126,0.328084,0,0.040160106272,0.215735571208,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,0,32.3, 0.7, 2,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1600,2024-01-04 22:19:42,38.719605504005,-121.167900654765,0,,,473.18407518126,0.328084,0,0.053138453144,0.230551844648,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,-0.223694,32.1, -1.1, -0.5,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1700,2024-01-04 22:19:42,38.7196055185047,-121.167900633296,0,,,473.18407518126,0.328084,0,0.0595390439,0.238634850156,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,-0.447388,31.9, -0.6, -1.2,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1800,2024-01-04 22:19:42,38.7196055550111,-121.167900610341,0,,,473.18407518126,0.328084,0,0.068529857836,0.253470808636,16,4,8.614,473.18407518126,0,0,0.07162237762,0,0,-0.894776,31.9, 0.7, -1.3,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.18407518126,0,11,AutoTakeoff,
1900,2024-01-04 22:19:42,38.7196055555908,-121.167900688231,0.328084,,,473.51215918126,0.656168,0,0.047740159008,0.275644037692,16,4,8.614,473.51215918126,0.328084,0,0.07162237762,0,0,-1.11847,32, 1.5, 0.1,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.51215918126,0.328084,11,AutoTakeoff,
2000,2024-01-04 22:19:42,38.7196055835838,-121.16790065965,0.328084,,,473.51215918126,0.656168,0,0.05963254784,0.288701780892,16,4,8.614,473.51215918126,0.328084,0,0.07162237762,0,0,-1.342164,32, 1.1, 0.4,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.299,4.3,0,0,0,0,0.986,76.1,473.51215918126,0.328084,11,AutoTakeoff,
2100,2024-01-04 22:19:43,38.7196055950057,-121.16790059292,0.656168,,,473.84024318126,0.984252,0,0.078403545816,0.308148959992,16,4,8.574,473.84024318126,0.656168,0,0.078403545816,0,0,-1.565858,32, 1, 0,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,473.84024318126,0.656168,11,AutoTakeoff,
2200,2024-01-04 22:19:43,38.7196056145829,-121.167900505875,0.656168,,,473.84024318126,0.984252,0,0.103926512512,0.33393701856,16,4,8.574,473.84024318126,0.656168,0,0.103926512512,0,0,-1.789552,32.1, 1.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,473.84024318126,0.656168,11,AutoTakeoff,
2300,2024-01-04 22:19:43,38.7196056450315,-121.167900400031,0.984252,,,474.16832718126,1.312336,0,0.136005909864,0.36604988048,16,4,8.574,474.16832718126,0.984252,0,0.136005909864,0,0,-2.013246,32.1, 1.5, -0.3,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,474.16832718126,0.984252,11,AutoTakeoff,
2400,2024-01-04 22:19:43,38.7196056462431,-121.167900220668,1.312336,,,474.49641118126,1.64042,0,0.184340228996,0.4171095934,16,4,8.574,474.49641118126,1.312336,0,0.184340228996,0,0,-2.013246,32.1, 1.6, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,474.49641118126,1.312336,11,AutoTakeoff,
2500,2024-01-04 22:19:43,38.7196055175243,-121.167900258556,1.64042,,,474.82449518126,1.968504,0,0.166013128672,0.46529529048,16,4,8.574,474.82449518126,1.64042,0,0.184340228996,0,0,-2.23694,32, 1.7, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,474.82449518126,1.64042,11,AutoTakeoff,
2600,2024-01-04 22:19:43,38.7196054336595,-121.167900206253,1.968504,,,475.15257918126,2.296588,0,0.1825377355,0.49932088212,16,4,8.574,475.15257918126,1.968504,0,0.184340228996,0,0,-2.23694,32.1, 2.3, -0.2,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,475.15257918126,1.968504,11,AutoTakeoff,
2700,2024-01-04 22:19:43,38.7196053954301,-121.167900045999,2.296588,,,475.48066318126,2.624672,0,0.229762802628,0.54702429572,16,4,8.574,475.48066318126,2.296588,0,0.229762802628,0,0,-2.23694,32.1, 2.1, -0.3,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,475.48066318126,2.296588,11,AutoTakeoff,
2800,2024-01-04 22:19:43,38.7196051860448,-121.16789989774,2.624672,,,475.80874718126,2.952756,0,0.292370088096,0.6343012014,16,4,8.574,475.80874718126,2.624672,0,0.292370088096,0,0,-2.013246,32.1, 1.4, -0.2,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,475.80874718126,2.624672,6,P-GPS,"Home Point updated. RTH altitude adjusted to 100 m (Code: 120852)"
2900,2024-01-04 22:19:43,38.7196048848576,-121.167899943953,2.952756,,,476.13683118126,3.28084,0,0.34062337048,0.74497377712,16,4,8.574,476.13683118126,2.952756,0,0.34062337048,0,0,-1.789552,32.2, 1.3, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,476.13683118126,2.952756,6,P-GPS,
3000,2024-01-04 22:19:44,38.7196046103019,-121.167900000406,3.28084,,,476.46491518126,3.608924,0.223694,0.40402888432,0.84642719244,16,5,8.574,476.46491518126,3.28084,0.223694,0.40402888432,-0.223694,0,-1.11847,32.2, 1.1, -0.1,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.229,4.228,0,0,0,0,1.811,76.1,476.46491518126,3.28084,6,P-GPS,
3100,2024-01-04 22:19:44,38.7196043497574,-121.167900067698,3.28084,,,476.46491518126,3.608924,0.223694,0.47470802044,0.94339569948,16,5,8.42,476.46491518126,3.28084,0.223694,0.47470802044,-0.223694,0,-0.671082,32.1, 0.9, -0.4,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.219,4.216,0,0,0,0,4.503,76.1,476.46491518126,3.28084,6,P-GPS,
3200,2024-01-04 22:19:44,38.719603845767,-121.167900314282,3.28084,,,476.46491518126,3.608924,0.223694,0.62274936376,1.14021985276,16,5,8.42,476.46491518126,3.28084,0.223694,0.62274936376,-0.223694,0,-0.223694,32.1, 0.5, -0.8,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.219,4.216,0,0,0,0,4.503,76.1,476.46491518126,3.28084,6,P-GPS,
3300,2024-01-04 22:19:44,38.7196036624563,-121.167900315424,3.608924,,,476.79299918126,3.608924,0.223694,0.6877788934,1.20709977616,16,5,8.42,476.79299918126,3.608924,0.223694,0.6877788934,-0.223694,0,0,32.2, 0.3, -1,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.219,4.216,0,0,0,0,4.503,76.1,476.79299918126,3.608924,6,P-GPS,
3400,2024-01-04 22:19:44,38.7196035260578,-121.167900299831,3.608924,,,476.79299918126,3.608924,0.223694,0.73734582412,1.25706368852,16,5,8.42,476.79299918126,3.608924,0.223694,0.73734582412,-0.223694,0,0,32.1, 0.2, -1,0,1,1024,1024,1024,1024,0,0,0,0,18.6,0,0,99,4.219,4.216,0,0,0,0,4.503,76.1,476.79299918126,3.608924,6,P-GPS,
3500,2024-01-04 22:19:44,38.7196034264589,-121.167900263909,3.608924,,,476.79299918126,3.608924,0.223694,0.77502299068,1.29481303356,16,5,8.42,476.79299918126,3.608924,0.223694,0.77502299068,-0.223694,0,0,32.1, 0.1, -1,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.219,4.216,0,0,0,0,4.503,76.1,476.79299918126,3.608924,6,P-GPS,
3600,2024-01-04 22:19:44,38.7196035519924,-121.167900142187,3.608924,,,476.79299918126,3.608924,0.223694,0.73889766144,1.35224413776,16,5,8.42,476.79299918126,3.608924,0.223694,0.77502299068,-0.223694,0,0,32, 0.1, -1,0,1,1024,1024,1024,1024,0,0,0,0,18.5,0,0,99,4.219,4.216,0,0,0,0,4.503,76.1,476.79299918126,3.608924,6,P-GPS,
