0 time,1 glare_angle,2 glare_angle_wrt_horizon,3 bank_angle,4 azimuth,5 gaussian_smoothed_azimuth,6 smoothed_glare_angle,7 Y bump,8 Markus KF Rad,Pip Angle,Pip,d-Pip,12 KF Deg,13 KF Deg Adj,Frame
0,-46.93091742,-24.33091742,22.6,54,53.78738729,-46.92847994,210.5,-0.85041098,-53.45694725,53.45694725,18.808,-48.72496001,-48.72496001,0
0.0333667,-46.46304851,-23.86304851,22.6,54,53.76991293,-46.9261032,210.5,-0.85041098,-53.44503306,53.44503306,18.808581,-48.72496001,-48.72496001,1
0.0667334,-47.32585987,-24.72585987,22.6,54,53.75144164,-46.92191536,210.5,-0.85041098,-53.43631639,53.43631639,19.1283325,-48.72496001,-48.72496001,2
0.1001001,-48.35630742,-25.65630742,22.7,54,53.73195587,-46.91494724,210.5,-0.85041098,-53.38909365,53.38909365,15.27772661,-48.72496001,-48.72496001,3
0.1334668,-48.13420027,-25.43420027,22.7,54,53.71144095,-46.90400611,210.5,-0.85041098,-53.35035212,53.35035212,16.12584639,-48.72496001,-48.72496001,4
0.1668335,-47.08971356,-24.28971356,22.8,54,53.68987852,-46.88777663,210.301,-0.85041098,-53.32051386,53.32051386,17.01617423,-48.72496001,-48.72496001,5
0.2002002,-46.0638813,-23.1638813,22.9,54,53.66726532,-46.8650058,210.301,-0.85041098,-53.26611269,53.26611269,14.55988373,-48.72496001,-48.72496001,6
0.2335669,-46.70534845,-23.80534845,22.9,54,53.64359589,-46.83475428,210.344,-0.85041098,-53.21200036,53.21200036,14.58876609,-48.72496001,-48.72496001,7
0.2669336,-46.41730002,-23.31730002,23.1,54,53.61886809,-46.79663675,210.684,-0.85041098,-53.1764596,53.1764596,16.44592473,-48.72496001,-48.72496001,8
0.3003003,-46.02096622,-22.82096622,23.2,54,53.59308324,-46.75098605,211.004,-0.85041098,-53.12313564,53.12313564,14.667604,-48.72496001,-48.72496001,9
0.333667,-46.10495871,-22.90495871,23.2,54,53.5662461,-46.69887345,210.945,-0.85041098,-53.05832838,53.05832838,13.51927327,-48.72496001,-48.72496001,10
0.3670337,-47.49601126,-24.19601126,23.3,54,53.53836493,-46.64195931,211.008,-0.85041098,-52.99315416,52.99315416,13.48257891,-48.72496001,-48.72496001,11
0.4004004,-47.90660539,-24.60660539,23.3,54,53.50945142,-46.58221104,211.074,-0.85041098,-52.92808861,52.92808861,13.49344436,-48.72496001,-48.72496001,12
0.4337671,-47.24622847,-23.84622847,23.4,54,53.4795207,-46.5215752,211.129,-0.85041098,-52.86237745,52.86237745,13.42888373,-48.72496001,-48.72496001,13
0.4671338,-48.30205207,-24.80205207,23.5,54,53.44859123,-46.46171137,211.133,-0.85041098,-52.82857314,52.82857314,16.619569,-48.72496001,-48.72496001,14
0.500500501,-45.40661093,-21.90661093,23.5,54,53.41668469,-46.40386238,211,-0.85041098,-52.78221327,52.78221327,15.36401355,-48.72496001,-48.72496001,15
0.533867201,-45.77403515,-22.17403515,23.6,54,53.38382585,-46.34887528,210.852,-0.85041098,-52.73543603,52.73543603,15.32227582,-48.72496001,-48.72496001,16
0.567233901,-45.503956,-21.803956,23.7,54,53.35004242,-46.29735223,210.703,-0.85041098,-52.67506051,52.67506051,13.96244845,-48.72496001,-48.72496001,17
0.600600601,-44.54181614,-20.84181614,23.7,54,53.31536486,-46.24982485,210.914,-0.85041098,-52.61326933,52.61326933,13.82088164,-48.72496001,-48.72496001,18
0.633967301,-45.01533312,-21.21533312,23.8,53,53.27982616,-46.2068885,211.031,-0.85041098,-52.55502056,52.55502056,14.17512273,-48.72496001,-48.72496001,19
0.667334001,-46.38578492,-22.48578492,23.9,53,53.24346159,-46.16924678,210.902,-0.85041098,-52.51461159,52.51461159,15.95910309,-48.72496001,-48.72496001,20
0.700700701,-47.13046436,-23.23046436,23.9,53,53.20630852,-46.13769723,210.875,-0.85041098,-52.47203469,52.47203469,15.74231,-48.72496001,-48.72496001,21
