,Pip Angle
0,-53.45694725
1,-53.44503306
2,-53.43631639
3,-53.38909365
4,-53.35035212
5,-53.32051386
6,-53.26611269
7,-53.21200036
8,-53.1764596
9,-53.12313564
10,-53.05832838
11,-52.99315416
12,-52.92808861
13,-52.86237745
14,-52.82857314
15,-52.78221327
16,-52.73543603
17,-52.67506051
18,-52.61326933
19,-52.55502056
20,-52.51461159
21,-52.47203469
22,-52.42194157
23,-52.36935932
24,-52.3169632
25,-52.26571188
26,-52.22567697
27,-52.16203313
28,-52.1131654
29,-52.06506165
30,-52.00493398
31,-51.94642977
32,-51.90013696
33,-51.84938162
34,-51.80052153
35,-51.75173873
36,-51.68796576
37,-51.62426101
38,-51.58031353
39,-51.52052567
40,-51.46195582
41,-51.41498602
42,-51.36755454
43,-51.30183563
44,-51.24885454
45,-51.19532375
46,-51.13138867
47,-51.08093192
48,-51.03247005
49,-50.97090381
50,-50.92096983
51,-50.86726756
52,-50.81129936
53,-50.74552985
54,-50.69844553
55,-50.6515833
56,-50.60629053
57,-50.55257693
58,-50.49916683
59,-50.43568663
60,-50.38634452
61,-50.34060127
62,-50.27911717
63,-50.21861622
64,-50.16649619
65,-50.11055545
66,-50.04482142
67,-49.97854325
68,-49.93199143
69,-49.88671406
70,-49.83272621
71,-49.78200108
72,-49.73017146
73,-49.69627977
74,-49.66100734
75,-49.61511292
76,-49.57117532
77,-49.52447628
78,-49.47739358
79,-49.43033212
80,-49.3820506
81,-49.35326304
82,-49.32202864
83,-49.28063824
84,-49.21469377
85,-49.1514836
86,-49.10003942
87,-49.05124313
88,-49.01465111
89,-48.97829153
90,-48.93790032
91,-48.89156515
92,-48.84410753
93,-48.79597282
94,-48.7452873
95,-48.71974911
96,-48.69347279
97,-48.66741673
98,-48.62524282
99,-48.58309443
100,-48.54179901
101,-48.50406212
102,-48.47341107
103,-48.43699498
104,-48.38733744
105,-48.33957889
106,-48.29090305
107,-48.2434987
108,-48.1963968
109,-48.16549661
110,-48.13410504
111,-48.1015171
112,-48.0456961
113,-47.98169286
114,-47.92246157
115,-47.87724299
116,-47.8422787
117,-47.80897737
118,-47.769411
119,-47.71822884
120,-47.66644099
121,-47.61304668
122,-47.54858532
123,-47.50653698
124,-47.47003667
125,-47.41689448
126,-47.36595172
127,-47.31616543
128,-47.2668939
129,-47.22337909
130,-47.18575253
131,-47.13565725
132,-47.08255392
133,-47.03368303
134,-46.98300552
135,-46.93444295
136,-46.90478692
137,-46.87425286
138,-46.84290904
139,-46.79306562
140,-46.73183179
141,-46.67533913
142,-46.63013313
143,-46.58892846
144,-46.55449212
145,-46.51531212
146,-46.46809938
147,-46.41959861
148,-46.35506244
149,-46.29272123
150,-46.24767671
151,-46.21386731
152,-46.18081242
153,-46.1494926
154,-46.1070259
155,-46.06615369
156,-46.030545
157,-45.98872668
158,-45.94899877
159,-45.92355341
160,-45.88331173
161,-45.84136526
162,-45.79991002
163,-45.75741831
164,-45.71395348
165,-45.66672399
166,-45.62063846
167,-45.57657382
168,-45.54696714
169,-45.49795776
170,-45.44978566
171,-45.41483928
172,-45.38109904
173,-45.34529405
174,-45.29802195
175,-45.23538736
176,-45.18579636
177,-45.13410581
178,-45.08109653
179,-45.02948119
180,-44.99569127
181,-44.96197223
182,-44.92441537
183,-44.87575376
184,-44.80989775
185,-44.75646618
186,-44.72005421
187,-44.68528591
188,-44.65018494
189,-44.61626218
190,-44.565267
191,-44.51283489
192,-44.45478398
193,-44.39120394
194,-44.33854339
195,-44.30608891
196,-44.27274971
197,-44.23838986
198,-44.19310439
199,-44.1464442
200,-44.10027572
201,-44.06573131
202,-44.02170601
203,-43.9833603
204,-43.95478777
205,-43.92368084
206,-43.87655645
207,-43.83047726
208,-43.78590104
209,-43.75262385
210,-43.72176419
211,-43.68142169
212,-43.6374797
213,-43.60555267
214,-43.55795032
215,-43.51035611
216,-43.46600678
217,-43.43644919
218,-43.40644733
219,-43.36773266
220,-43.31669924
221,-43.25955426
222,-43.21124102
223,-43.17130817
224,-43.13056407
225,-43.10543885
226,-43.07844219
227,-43.03480202
228,-42.9753855
229,-42.91584111
230,-42.86302754
231,-42.82400632
232,-42.78577994
233,-42.72877266
234,-42.66238751
235,-42.5955669
236,-42.5280989
237,-42.46076448
238,-42.39693505
239,-42.3493033
240,-42.30052829
241,-42.23743335
242,-42.16869323
243,-42.09383663
244,-42.03767629
245,-41.98950351
246,-41.94250694
247,-41.88350037
248,-41.80424968
249,-41.73874859
250,-41.67157924
251,-41.60589733
252,-41.5539523
253,-41.48853024
254,-41.4198236
255,-41.3518948
256,-41.28183683
257,-41.19879667
258,-41.12746387
259,-41.07115563
260,-41.00798239
261,-40.94270508
262,-40.86053897
263,-40.78071255
264,-40.71908892
265,-40.67171521
266,-40.62418981
267,-40.54576546
268,-40.47919399
269,-40.41495398
270,-40.35690948
271,-40.28739375
272,-40.22130327
273,-40.16748198
274,-40.10424798
275,-40.04051332
276,-39.95853897
277,-39.87602098
278,-39.82935637
279,-39.78211981
280,-39.70707606
281,-39.63245938
282,-39.57576146
283,-39.51933706
284,-39.46634988
285,-39.42216488
286,-39.34864506
287,-39.2906601
288,-39.23342964
289,-39.1743017
290,-39.1137592
291,-39.06674365
292,-39.01791191
293,-38.96946327
