Frame,X pixels,Y pixels,,,Frame,X pixels,Y pixels,,offx,offy,len,Bank Angle,,Cue Angle
0,768,420,,,0,1143,410,,375,-10,375.1333096,-1.527525442,-0.02665719,35.92850242
1,768,420,,,1,1143,410,,375,-10,375.1333096,-1.527525442,-0.02665719,35.92850242
2,767.938,419.98,,,2,1142.76,409.969,,374.822,-10.011,374.9556665,-1.529930785,-0.026699156,35.92488347
3,767.871,419.973,,,3,1142.93,409.957,,375.059,-10.016,375.1927155,-1.529727759,-0.026695614,35.90202412
4,767.867,419.969,,,4,1142.84,409.957,,374.973,-10.012,375.1066393,-1.529467672,-0.026691076,35.95645952
5,767.879,419.965,,,5,1142.87,410.027,,374.991,-9.938,375.1226652,-1.518095647,-0.026492667,35.95702141
6,767.891,419.969,,,6,1142.79,409.938,,374.899,-10.031,375.0331734,-1.53267112,-0.026746967,36.09643549
7,767.816,419.73,,,7,1142.9,410.074,,375.084,-9.656,375.2082694,-1.474672013,-0.02573504,36.26320318
8,767.855,419.672,,,8,1142.91,410.23,,375.055,-9.442,375.1738322,-1.442115169,-0.025167,36.23149999
9,767.906,419.324,,,9,1142.83,409.84,,374.924,-9.484,375.0439335,-1.449033179,-0.025287704,36.28468482
10,767.902,419.328,,,10,1142.65,409.852,,374.748,-9.476,374.8677875,-1.448491076,-0.025278246,36.28854424
11,767.984,418.77,,,11,1142.62,409.832,,374.636,-8.938,374.7426055,-1.366693395,-0.023851038,36.47999469
12,767.98,418.77,,,12,1142.58,409.863,,374.6,-8.907,374.7058775,-1.362085868,-0.023770644,36.48540259
13,767.91,419.324,,,13,1142.64,409.848,,374.73,-9.476,374.8497932,-1.448560624,-0.025279459,36.46828148
14,768,418.754,,,14,1142.77,409.812,,374.77,-8.942,374.8766627,-1.366816098,-0.023853179,36.51843207
15,767.918,418.734,,,15,1142.72,409.844,,374.802,-8.89,374.907417,-1.35875473,-0.023712521,36.49182143
16,767.816,418.68,,,16,1142.58,409.867,,374.764,-8.813,374.8676095,-1.347126873,-0.023509633,36.48868311
17,767.926,418.672,,,17,1142.73,410.078,,374.804,-8.594,374.9025143,-1.313522968,-0.022923293,36.57405371
18,767.895,418.672,,,18,1142.76,410.059,,374.865,-8.613,374.9639343,-1.316211803,-0.022970209,36.49920115
19,767.898,418.676,,,19,1142.8,410.059,,374.902,-8.617,375.0010164,-1.31669294,-0.022978604,36.62915427
20,768.059,418.688,,,20,1142.8,410.059,,374.741,-8.629,374.840335,-1.319092193,-0.023020468,36.68509069
21,767.984,418.691,,,21,1142.84,410.062,,374.856,-8.629,374.9553045,-1.318687659,-0.02301341,36.6547645
22,767.953,418.656,,,22,1142.86,410.082,,374.907,-8.574,375.0050295,-1.310107293,-0.022863693,36.67271812
23,767.977,418.621,,,23,1142.93,410.309,,374.953,-8.312,375.0451194,-1.269931244,-0.022162667,36.62254533
24,767.977,418.617,,,24,1142.91,410.293,,374.933,-8.324,375.0253904,-1.271831854,-0.022195831,36.65585682
25,767.855,418.594,,,25,1142.87,410.383,,375.015,-8.211,375.1048797,-1.254297799,-0.021889878,36.6766045
26,767.852,418.594,,,26,1142.9,410.391,,375.048,-8.203,375.1376967,-1.252965901,-0.021866637,36.82371467
27,768,418.359,,,27,1143.08,410.582,,375.08,-7.777,375.1606164,-1.187814438,-0.020729788,36.90336849
28,768,418.359,,,28,1142.89,410.574,,374.89,-7.785,374.9708233,-1.18963841,-0.020761615,36.92024674
29,768.086,418.371,,,29,1143.06,410.551,,374.974,-7.82,375.0555333,-1.194717652,-0.020850246,36.90562167
30,768.098,417.895,,,30,1142.68,410.719,,374.582,-7.176,374.6507303,-1.097501285,-0.01915384,36.91839336
31,768.086,417.902,,,31,1142.96,410.758,,374.874,-7.144,374.9420657,-1.091757519,-0.01905361,36.89660721
32,768.094,417.883,,,32,1142.88,410.781,,374.786,-7.102,374.8532836,-1.08559533,-0.018946079,36.89303651
33,768.137,417.871,,,33,1142.79,410.773,,374.653,-7.098,374.7202317,-1.085369117,-0.018942132,36.84158615
34,768.047,417.816,,,34,1142.86,410.863,,374.813,-6.953,374.8774856,-1.06274827,-0.018547393,36.89988515
35,768,417.371,,,35,1142.8,410.934,,374.8,-6.437,374.855272,-0.983929234,-0.017171961,36.96124988
36,768,417.387,,,36,1142.57,410.934,,374.57,-6.453,374.6255812,-0.986979987,-0.017225199,36.94749672
37,768.051,417.391,,,37,1142.66,410.918,,374.609,-6.473,374.6649204,-0.989935308,-0.017276771,36.90076244
38,768.047,417.391,,,38,1142.66,410.93,,374.613,-6.461,374.6687127,-0.988089928,-0.017244568,36.96617865
39,767.758,417.316,,,39,1142.89,411.332,,375.132,-5.984,375.1797245,-0.913888626,-0.015949689,37.11143529
40,767.926,416.762,,,40,1142.82,411.316,,374.894,-5.446,374.9335543,-0.832264237,-0.01452524,37.11798746
41,767.766,416.77,,,41,1142.82,411.293,,375.054,-5.477,375.0939888,-0.836644004,-0.014601674,37.1377803
42,767.711,416.77,,,42,1142.77,411.336,,375.059,-5.434,375.0983629,-0.830065359,-0.014486867,37.09912175
43,767.734,416.711,,,43,1143,411.355,,375.266,-5.356,375.3042199,-0.817700938,-0.014271089,37.08309091
44,767.84,416.672,,,44,1142.88,411.371,,375.04,-5.301,375.0774616,-0.809792831,-0.014133081,37.14816999
45,767.5,416.613,,,45,1142.96,411.754,,375.46,-4.859,375.49144,-0.74144956,-0.012940375,37.15766699
46,768.281,416.57,,,46,1142.8,411.734,,374.519,-4.836,374.5502213,-0.73979422,-0.012911486,37.27855089
47,768.645,416.582,,,47,1142.82,411.703,,374.175,-4.879,374.2068082,-0.747057571,-0.013038245,37.26058489
48,766.66,416.512,,,48,1143.02,411.25,,376.36,-5.262,376.396783,-0.801016977,-0.013979928,37.32582118
49,767.934,416.504,,,49,1142.88,411.234,,374.946,-5.27,374.983034,-0.805259629,-0.014053969,37.33233682
50,767.859,416.527,,,50,1143,411.242,,375.141,-5.285,375.1782258,-0.807131623,-0.014086638,37.3361696
51,767.777,416.215,,,51,1143,411.547,,375.223,-4.668,375.2520352,-0.712757219,-0.012439639,37.33291843
52,767.801,415.848,,,52,1142.78,411.551,,374.979,-4.297,375.0036195,-0.65654127,-0.011458556,37.30623199
53,767.777,415.809,,,53,1143.14,411.562,,375.363,-4.247,375.3870253,-0.648238619,-0.011313657,37.48714479
54,767.785,415.547,,,54,1143.05,412.199,,375.265,-3.348,375.2799346,-0.511161927,-0.00892134,37.42857647
55,767.68,416.215,,,55,1143.03,412.66,,375.35,-3.555,375.3668346,-0.542641284,-0.009470735,37.43348795
56,767.676,416.25,,,56,1142.99,412.676,,375.314,-3.574,375.3310167,-0.545593627,-0.009522261,37.47639609
57,767.727,416.293,,,57,1143.07,412.652,,375.343,-3.641,375.3606593,-0.555778022,-0.009700004,37.48023362
58,767.832,415.75,,,58,1142.96,412.641,,375.128,-3.109,375.1408832,-0.474847252,-0.008287553,37.48362885
59,767.664,415.75,,,59,1142.73,412.637,,375.066,-3.113,375.0789185,-0.475536749,-0.008299587,37.48369223
60,767.793,415.664,,,60,1142.88,412.656,,375.087,-3.008,375.0990611,-0.459472097,-0.008019215,37.49177091
61,767.77,415.375,,,61,1142.83,412.699,,375.06,-2.676,375.0695463,-0.408790338,-0.007134677,37.45988447
62,767.77,415.398,,,62,1142.74,412.754,,374.97,-2.644,374.9793216,-0.403999068,-0.007051055,37.51354359
63,768.273,415.445,,,63,1142.89,412.773,,374.617,-2.672,374.6265291,-0.408661985,-0.007132437,37.46801459
64,767.836,415.441,,,64,1142.86,412.793,,375.024,-2.648,375.0333485,-0.404551983,-0.007060705,37.50241765
65,767.68,415.453,,,65,1142.64,412.785,,374.96,-2.668,374.9694919,-0.407676979,-0.007115246,37.47449339
66,767.891,415.434,,,66,1142.72,412.789,,374.829,-2.645,374.8383322,-0.404303886,-0.007056375,37.53178868
67,767.863,415.406,,,67,1142.75,412.82,,374.887,-2.586,374.8959191,-0.395224523,-0.006897915,37.66130832
68,767.926,415.414,,,68,1142.85,412.824,,374.924,-2.59,374.9329458,-0.395796771,-0.006907902,37.80460736
69,767.926,415.355,,,69,1142.93,413.078,,375.004,-2.277,375.0109128,-0.347891987,-0.006071823,37.82514426
70,767.91,415.359,,,70,1142.92,413.051,,375.01,-2.308,375.0171022,-0.352622569,-0.006154386,37.83218391
71,767.762,415.332,,,71,1142.91,413.055,,375.148,-2.277,375.1549102,-0.347758452,-0.006069493,37.85730525
72,767.883,415.414,,,72,1142.82,413.625,,374.937,-1.789,374.9412681,-0.273382919,-0.004771414,37.84900655
73,768,415.406,,,73,1142.93,413.625,,374.93,-1.781,374.93423,-0.272165513,-0.004750166,37.85437927
74,767.863,415.383,,,74,1142.61,414.328,,374.747,-1.055,374.748485,-0.161300525,-0.002815222,37.86902423
75,767.781,415.492,,,75,1142.59,414.449,,374.809,-1.043,374.8104512,-0.159439458,-0.00278274,37.85724133
76,767.629,415.5,,,76,1142.88,414.418,,375.251,-1.082,375.2525599,-0.165206386,-0.002883391,37.79995453
77,767.785,415.469,,,77,1142.77,414.422,,374.985,-1.047,374.9864617,-0.1599758,-0.002792101,37.80269671
78,767.805,415.461,,,78,1142.52,414.422,,374.715,-1.039,374.7164405,-0.158867839,-0.002772763,37.79590976
79,767.828,414.898,,,79,1142.79,414.441,,374.962,-0.457,374.9622785,-0.069831498,-0.001218789,37.78980734
80,767.805,414.891,,,80,1142.9,414.637,,375.095,-0.254,375.095086,-0.038798506,-0.000677162,37.79237159
81,767.746,414.84,,,81,1142.77,414.605,,375.024,-0.235,375.0240736,-0.035903053,-0.000626626,37.92972453
82,767.688,415.16,,,82,1142.63,414.594,,374.942,-0.566,374.9424272,-0.086491742,-0.001509565,38.01470372
83,767.699,415.164,,,83,1142.83,414.605,,375.131,-0.559,375.1314165,-0.08537902,-0.001490144,38.02750678
84,767.777,414.859,,,84,1142.89,414.809,,375.113,-0.05,375.1130033,-0.007637136,-0.000133293,37.97922641
85,767.594,414.535,,,85,1142.92,414.734,,375.326,0.199,375.3260528,0.030378548,0.000530206,38.03093468
86,767.59,414.426,,,86,1143,414.457,,375.41,0.031,375.4100013,0.004731278,8.25764E-05,37.98212327
87,767.621,414.422,,,87,1142.89,414.414,,375.269,-0.008,375.2690001,-0.001221434,-2.1318E-05,37.98722302
88,767.676,414.391,,,88,1142.92,414.449,,375.244,0.058,375.2440045,0.008855985,0.000154566,37.9974215
89,767.945,414.379,,,89,1142.71,414.426,,374.765,0.047,374.7650029,0.007185574,0.000125412,37.98180943
90,768.035,414.422,,,90,1142.73,414.516,,374.695,0.094,374.6950118,0.014373832,0.000250871,38.08382023
91,767.688,414.367,,,91,1142.94,414.516,,375.252,0.149,375.2520296,0.022750234,0.000397066,38.03380184
92,767.867,414.387,,,92,1143,414.656,,375.133,0.269,375.1330964,0.041085594,0.000717079,38.04661177
93,767.871,414.434,,,93,1142.84,414.82,,374.969,0.386,374.9691987,0.058981311,0.001029418,38.05122901
94,767.457,414.41,,,94,1142.87,414.934,,375.413,0.524,375.4133657,0.079973173,0.001395795,38.00768994
95,767.582,414.395,,,95,1142.8,414.707,,375.218,0.312,375.2181297,0.047642381,0.000831516,38.01187267
96,767.758,414.367,,,96,1142.85,414.672,,375.092,0.305,375.092124,0.046589127,0.000813134,37.96538457
97,767.738,414.367,,,97,1142.78,414.656,,375.042,0.289,375.0421113,0.044150994,0.00077058,38.33932051
98,767.738,414.367,,,98,1142.81,414.66,,375.072,0.293,375.0721144,0.0447585,0.000781183,38.48524524
99,767.746,414.379,,,99,1142.68,415.207,,374.934,0.828,374.9349143,0.126531145,0.002208383,38.40286501
100,767.648,414.383,,,100,1142.72,415.258,,375.072,0.875,375.0730206,0.133664246,0.002332879,38.43715169
101,767.652,414.387,,,101,1142.71,415.266,,375.058,0.879,375.05903,0.134280293,0.002343631,38.44697694
102,767.66,414.402,,,102,1142.74,415.262,,375.08,0.86,375.0809859,0.131370065,0.002292838,38.44383065
103,767.613,414.398,,,103,1142.67,415.27,,375.057,0.872,375.0580137,0.133211298,0.002324974,38.48582619
104,767.645,414.398,,,104,1142.69,415.254,,375.045,0.856,375.0459769,0.130771246,0.002282387,38.48481533
105,767.637,414.391,,,105,1142.74,415.262,,375.103,0.871,375.1040112,0.133042216,0.002322023,38.44494102
