Frame,X pixels,Y pixels
0,863,246
1,863,246
26,862.84,245.785
34,863.125,245.875
35,862.875,247
57,861.875,247.625
80,861.5,248.125
89,861.375,248.875
95,861.375,249.125
96,861.398,249.188
97,861.43,249.215
98,861.422,249.121
99,861.414,249.148
100,861.402,249.164
101,861.371,249.188
102,861.371,249.18
103,861.375,249.203
104,861.375,249.234
105,861.383,249.234
106,861.383,249.305
107,861.363,249.484
108,861.383,249.555
109,861.352,249.684
110,861.363,249.715
111,861.387,249.734
112,861.41,249.758
113,861.441,249.773
114,861.465,249.816
115,861.484,249.852
116,861.48,249.859
117,861.477,249.875
118,861.473,249.895
119,861.473,249.914
120,861.477,249.977
121,861.477,250.055
122,861.477,250.078
123,861.496,250.082
124,861.48,250.078
125,861.48,250.09
126,861.469,250.109
127,861.469,250.098
128,861.469,250.105
129,861.469,250.113
130,861.504,250.148
131,861.465,250.215
132,861.422,250.246
133,861.422,250.246
134,861.422,250.246
135,861.422,250.246
136,861.418,250.25
137,861.418,250.387
138,861.418,250.562
139,861.414,250.59
140,861.414,250.59
141,861.418,250.609
142,861.418,250.617
143,861.418,250.68
144,861.398,250.777
145,861.398,250.891
146,861.367,250.859
147,861.367,250.859
149,861.617,251.234
191,860.492,253.234
269,860.242,254.734
339,859.617,255.859
358,860.492,254.609
375,860.409,254.521
382,859.492,254.484
389,856.242,254.359
399,852.492,254.234
404,848.492,254.484
408,845.492,254.234
412,843.242,254.109
416,839.617,253.484
420,836.367,253.234
424,831.492,252.484
430,829.367,252.359
434,824.242,251.484
440,817.742,250.859
447,814.242,251.109
453,807.117,250.359
459,803.367,250.359
464,796.492,249.734
468,791.742,249.109
482,782.992,248.859
492,769.742,247.859
504,760.242,247.109
513,749.742,246.609
522,740.992,246.109
532,735.992,246.109
538,726.242,246.109
546,718.742,245.859
555,714.492,245.359
560,705.992,244.859
565,701.742,244.859
570,695.992,245.109
576,690.242,244.609
583,683.742,244.609
601,665.992,244.109
607,658.492,243.109
616,651.742,243.109
625,642.742,242.609
651,619.992,241.359
661,614.992,241.359
669,614.242,241.109
704,614.992,242.359
723,615.492,242.609
747,615.742,244.359
888,613.492,243.859
1136,613.492,246.359
1355,613.242,240.859
1503,611.242,246.109
1619,613.242,245.359
1623,613.492,243.109
1627,613.242,238.609
1640,613.242,231.109
1650,612.992,221.859
1662,612.492,210.609
1675,612.492,200.109
1686,611.742,188.359
1701,611.742,179.109
1718,610.742,162.109
1734,611.742,148.609
1746,612.242,139.859
1761,612.742,129.609
1774,613.242,114.109
1790,614.242,102.609
1808,614.492,88.6094
1828,613.992,70.8594
1859,614.242,49.3594
1868,614.242,43.2344
1873,614.992,34.6094
1884,614.867,24.6094
1907,616.242,10
1914,616.742,3.75
