Frame, Az
5077,217
5183,218
5242,219
5705,220
5907,221
5932,220
6073,221
6235,222
6407,223
6483,224
6669,225
6769,226
6905,227
7005,228
7130,229
7230,230
7268,231
7367,232
7417,233
7493,234
7555,235
7630,236
7677,237
7729,238
7777,239
7802,240
7851,241
7891,242
7915,243
7966,244
7990,245
8040,247
8064,248
8089,249
8114,250
8165,251
8178,252
8204,254
8229,255
8255,256
8281,257
8306,258
8333,259
8346,261
8371,262
8397,264
8422,265
8448,266
8474,267
8498,269
8525,270
8539,272
8565,273
8590,275
8619,276
8645,277
8659,279
8685,280
8712,282
8738,283
8764,284
8779,285
8806,287
8832,289
8858,290
8884,291
8899,293
8925,294
8952,296
8977,297
9003,298
9028,300
9053,301
9065,302
