Frame, Az
0,354
106,355
245,356
346,357
470,358
585,359
699,0
813,1
1037,2
1038,3
1153,4
1268,5
1380,6
1496,7
1612,8
1729,9
1830,10
1946,11
2050,12
2171,13
2278,14
2395,15
2508,16
2620,17
2737,18
2855,19
2966,20
3083,21
3198,22
3312,23
3428,24
3555,25
3670,26
3794,27
3908,28
4051,29
4140,30
4280,31
4421,32
4460,26
4473,19
4486,8
4498,358
4517,343
4524,330
4538,311
4550,299
4562,287
4576,275
4589,264
4603,247
4615,236
4630,225
4641,214
4655,203
4667,192
4680,182
4695,171
4705,154
4717,143
4730,133
4743,122
4756,111
4770,100
4781,89
4794,79
4806,69
4819,51
4830,44
4844,26
4856,18
4869,17
4882,26
4896,40
4908,42
4924,40
4936,37
4949,35
5013,36
5183,218
5242,219
5705,220
5907,221
5932,220
6073,221
6235,222
6407,223
6483,224
6669,225
6769,226
6905,227
7005,228
7130,229
7230,230
7268,231
7367,232
7417,233
7493,234
7555,235
7630,236
7677,237
7729,238
7777,239
7802,240
7851,241
7891,242
7915,243
7966,244
7990,245
8040,247
8064,248
8089,249
8114,250
8165,251
8178,252
8204,254
8229,255
8255,256
8281,257
8306,258
8333,259
8346,261
8371,262
8397,264
8422,265
8448,266
8474,267
8498,269
8525,270
8539,272
8565,273
8590,275
8619,276
8645,277
8659,279
8685,280
8712,282
8738,283
8764,284
8779,285
8806,287
8832,289
8858,290
8884,291
8899,293
8925,294
8952,296
8977,297
9003,298
9028,300
9053,301
9065,302
