Frame, Rng
0,11000
5,10995
20,10990
44,10980
69,10970
95,10960
120,10955
132,10950
144,10945
168,10935
193,10930
206,10925
232,10920
245,10910
270,10905
284,10900
297,10895
321,10890
346,10880
372,10875
385,10870
409,10860
434,10855
446,10850
483,10840
508,10835
521,10830
557,10820
570,10825
585,10815
599,10810
625,10805
650,10800
675,10795
687,10790
711,10785
723,10780
763,10775
787,10770
799,10765
824,10760
850,10755
874,10750
899,10745
912,10750
924,10740
937,10745
948,10740
962,10735
988,10730
1000,10735
1013,10730
1038,10725
1090,10720
1104,10715
1116,10710
1129,10715
1153,10710
1178,10705
1242,10700
1281,10695
1294,10700
1306,10695
1342,10690
1407,10685
1421,10690
1435,10685
1472,10680
1485,10685
1497,10680
1511,10685
1523,10680
1637,10675
1664,10680
1676,10675
1701,10680
1713,10675
1729,10680
1754,10675
1766,10680
1855,10685
1959,10690
1973,10685
2014,10690
2040,10695
2106,10700
2159,10705
2197,10710
2238,10715
2265,10720
2291,10725
2331,10730
2371,10735
2383,10740
2395,10735
2408,10745
2420,10740
2433,10745
2447,10750
2472,10755
2496,10760
2533,10765
2558,10770
2571,10775
2596,10780
2620,10785
2645,10790
2671,10795
2696,10800
2710,10805
2737,10810
2763,10815
2789,10820
2803,10825
2814,10830
2828,10835
2841,10840
2878,10845
2890,10850
2904,10855
2915,10860
2940,10865
2955,10870
2968,10875
2994,10880
3006,10885
3019,10890
3046,10895
3058,10900
3072,10905
3083,10910
3097,10915
3123,10920
3135,10925
3147,10930
3159,10935
3187,10940
3198,10950
3225,10955
3238,10960
3250,10965
3263,10970
3288,10980
3312,10990
3325,10995
3349,11005
3374,11015
3388,11020
3414,11025
3428,11030
3440,11040
3469,11045
3482,11055
3506,11065
3518,11070
3531,11075
3543,11080
3557,11085
3569,11090
3581,11095
3593,11100
3606,11105
3619,11110
3631,11120
3645,11125
3670,11135
3682,11140
3695,11145
3706,11155
3731,11160
3745,11170
3756,11175
3769,11180
3781,11190
3794,11195
3807,11200
3833,11210
3845,11215
3858,11220
3870,11230
3883,11235
3895,11245
3921,11255
3935,11260
3947,11265
3963,11275
3975,11280
3987,11290
3999,11295
4230,11425
4243,11430
4256,11435
4268,11445
4281,11450
4295,11460
4305,11470
4320,11475
4331,11485
4344,11495
4345,11490
4357,11500
4369,11505
4381,11515
4396,11520
4407,11525
4423,11535
4434,11545
4974,11305
4975,11205
4988,11650
5000,11955
5013,11940
5025,11945
5183,6955
5520,7040
5545,7485
5782,7330
5808,12330
5833,12470
5857,12735
5957,12750
5995,12740
6021,12725
6046,12705
6123,12600
6148,12010
6174,11875
6185,11725
6235,14815
6260,27515
6285,31715
6309,32305
6558,19530
6570,9135
